Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-11-07 00:00:00+09:00,56900.0,58100.0,56800.0,57300.0,17043102,0.0,0.0,0.0
2024-11-08 00:00:00+09:00,58000.0,58300.0,57000.0,57000.0,13877396,0.0,0.0,0.0
2024-11-11 00:00:00+09:00,56700.0,56800.0,55000.0,55000.0,29811326,0.0,0.0,0.0
2024-11-12 00:00:00+09:00,54600.0,54600.0,53000.0,53000.0,37962881,0.0,0.0,0.0
2024-11-13 00:00:00+09:00,52000.0,53000.0,50500.0,50600.0,52527995,0.0,0.0,0.0
2024-11-14 00:00:00+09:00,50200.0,51800.0,49900.0,49900.0,48510715,0.0,0.0,0.0
2024-11-15 00:00:00+09:00,50300.0,54200.0,50300.0,53500.0,46774485,0.0,0.0,0.0
2024-11-18 00:00:00+09:00,57000.0,57500.0,55900.0,56700.0,48095234,0.0,0.0,0.0
2024-11-19 00:00:00+09:00,56500.0,57500.0,55900.0,56300.0,31539632,0.0,0.0,0.0
2024-11-20 00:00:00+09:00,56100.0,56500.0,54800.0,55300.0,20864667,0.0,0.0,0.0
2024-11-21 00:00:00+09:00,54900.0,56900.0,54700.0,56400.0,19096850,0.0,0.0,0.0
2024-11-22 00:00:00+09:00,56000.0,56700.0,55900.0,56000.0,15281543,0.0,0.0,0.0
2024-11-25 00:00:00+09:00,57400.0,57900.0,56700.0,57900.0,36237325,0.0,0.0,0.0
2024-11-26 00:00:00+09:00,57900.0,58900.0,57500.0,58300.0,23209405,0.0,0.0,0.0
2024-11-27 00:00:00+09:00,57700.0,57800.0,56000.0,56300.0,21808387,0.0,0.0,0.0
2024-11-28 00:00:00+09:00,56000.0,56400.0,55200.0,55500.0,20001134,0.0,0.0,0.0
2024-11-29 00:00:00+09:00,55100.0,55300.0,53800.0,54200.0,24513531,0.0,0.0,0.0
2024-12-02 00:00:00+09:00,54300.0,54400.0,53100.0,53600.0,22044867,0.0,0.0,0.0
2024-12-03 00:00:00+09:00,53100.0,54400.0,53100.0,53600.0,23374603,0.0,0.0,0.0
